Transaction_ID,Customer_ID,Timestamp,Amount,Merchant_ID,Merchant_Category,Transaction_Type,Card_Present_Flag,Location_City,Location_Country,Device_ID,Channel,Is_3DS_Authenticated,Previous_Fraud_Flag,Is_Fraud
T00001,C2824,2023-05-23 19:34:06,8919.14,M106,Electronics,Online,1,Mumbai,UK,D10795,Web,No,No,0
T00002,C1409,2024-02-09 08:48:16,4579.28,M924,Travel,Online,1,Delhi,UK,D51661,Mobile App,Yes,No,1
T00003,C5506,2023-02-22 22:54:05,802.62,M596,Utilities,Online,1,Bangalore,USA,D12380,ATM,Yes,No,0
T00004,C5012,2024-09-02 16:54:57,8979.56,M738,Groceries,POS,1,Delhi,USA,D95746,Web,No,Yes,0
T00005,C4657,2024-01-28 08:29:55,2884.44,M804,Utilities,Online,0,Chennai,Singapore,D89932,Mobile App,Yes,Yes,0
T00006,C3286,2023-05-04 18:52:52,9566.31,M305,Dining,POS,0,Kolkata,India,D63470,Mobile App,Yes,Yes,0
T00007,C2679,2023-11-20 01:31:13,1094.54,M217,Dining,Online,1,Mumbai,Singapore,D90645,ATM,Yes,No,0
T00008,C9935,2024-02-26 19:44:52,2760.15,M168,Utilities,POS,1,Delhi,USA,D85123,Web,No,Yes,0
T00009,C2424,2024-02-22 03:04:32,6971.12,M100,Groceries,POS,0,Mumbai,India,D64486,Mobile App,No,No,0
T00010,C7912,2023-11-10 08:14:21,4963.79,M256,Entertainment,POS,0,Chennai,USA,D22938,Web,No,No,0
T00011,C1520,2023-03-13 09:59:21,8750.06,M718,Utilities,ATM Withdrawal,0,Kolkata,USA,D35577,Mobile App,No,No,0
T00012,C1488,2023-09-29 09:20:35,5207.36,M223,Utilities,Online,1,Mumbai,UK,D26012,Mobile App,Yes,Yes,1
T00013,C2535,2023-06-21 19:25:51,6273.13,M632,Travel,Online,1,Bangalore,Singapore,D53240,ATM,No,Yes,0
T00014,C4582,2024-11-17 03:42:31,2932.4,M199,Clothing,POS,1,Kolkata,USA,D31289,Mobile App,Yes,Yes,0
T00015,C4811,2023-06-15 17:12:11,9695.78,M353,Utilities,ATM Withdrawal,0,Hyderabad,Singapore,D53439,Web,Yes,Yes,0
T00016,C9279,2024-05-30 05:27:03,5414.81,M309,Dining,ATM Withdrawal,0,Delhi,USA,D58821,Web,Yes,No,0
T00017,C1434,2023-09-15 18:45:25,1321.14,M206,Electronics,ATM Withdrawal,0,Bangalore,India,D30944,ATM,No,Yes,0
T00018,C4257,2023-09-15 03:31:39,3467.66,M585,Travel,POS,1,Chennai,India,D42052,Mobile App,No,No,0
T00019,C9928,2023-10-08 05:45:32,4439.16,M125,Electronics,POS,1,Chennai,India,D31318,ATM,Yes,No,0
T00020,C7873,2023-08-17 00:37:21,6447.2,M952,Electronics,Online,1,Chennai,India,D27453,Web,No,Yes,0
T00021,C4611,2023-06-19 16:06:54,2915.88,M617,Dining,ATM Withdrawal,1,Bangalore,India,D96593,ATM,Yes,No,0
T00022,C8359,2024-08-07 14:31:08,630.43,M554,Utilities,Online,0,Bangalore,India,D82440,ATM,No,Yes,0
T00023,C5557,2024-04-25 05:35:08,8718.07,M500,Dining,ATM Withdrawal,1,Bangalore,USA,D16290,Web,No,No,0
T00024,C1106,2024-02-17 01:12:58,2324.05,M156,Clothing,Online,1,Mumbai,India,D52516,Mobile App,No,No,0
T00025,C3615,2024-01-04 19:58:46,9474.54,M224,Entertainment,ATM Withdrawal,0,Kolkata,Singapore,D75957,Mobile App,Yes,Yes,0
